id,number,click_id,track_time,conv_time,campaign,prelanding,offer,status,source,network,isp,landing,country,city,region,os,browser,device,ip,user_agent,ref_id,postback_ip,deduplicate_token,payout,cost,pub_revenue,type,connection_type,event,coupon,deeplink,convtype1,convtype2,convtype3,convtype4,convtype5,convtype6,convtype7,convtype8,convtype9,convtype10,convtype11,convtype12,convtype13,convtype14,convtype15,convtype16,convtype17,convtype18,convtype19,convtype20,clicksub1,clicksub2,clicksub3,clicksub4,clicksub5,clicksub6,clicksub7,clicksub8,clicksub9,clicksub10,clicksub11,clicksub12,clicksub13,clicksub14,clicksub15,clicksub16,clicksub17,clicksub18,clicksub19,clicksub20,convSub1,convSub2,convSub3,convSub4,convSub5,convSub6,convSub7,convSub8,convSub9,convSub10,convSub11,convSub12,convSub13,convSub14,convSub15,convSub16,convSub17,convSub18,convSub19,convSub20,rt_source,rt_medium,rt_campaign,rt_adgroup,rt_ad,rt_placement,rt_keyword,rt_campaign_id,rt_adgroup_id,rt_ad_id,rt_placement_id,server,order,duplicate_status
6a877e85e9972115873b4b5f,,6a8775ad3c008471a56f682b,2026-08-20 21:46:21 +0000 UTC,2026-08-20 22:24:04 +0000 UTC,Meta Ads - WhatsApp Favio,,Landing/WhatsApp Favio,other,Facebook perfil 1,WhatsApp Direct - Kommo CRM,Telmex Colombia S.A.,Landing Vercel Favio,CO,Barranquilla,Atlántico,Windows,Chrome,DeviceComputer,181.63.26.84,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",,181.63.26.84,,0.0000,0.0000,0.0000,InitiateCheckout,Cable/DSL,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{{ad.id}},{{adset.id}},{{campaign.id}},{{ad.name}},{{adset.name}},{{campaign.name}},{{placement}},{{site_source_name}},facebook,paid,,,,,,,,,fb.2.1787262380350.629686993466623644.AQYCAQMB,,,,,,,,,,,,,,,,,,,,,,facebook,paid,{{campaign.name}},{{adset.name}},{{ad.name}},{{placement}},,{{campaign.id}},{{adset.id}},{{ad.id}},,,,1
6a85ef053c008471a5400dbe,,6a85b68e3c008471a5379b44,2026-08-19 13:58:38 +0000 UTC,2026-08-19 17:59:33 +0000 UTC,Meta Ads - WhatsApp Favio,,Landing/WhatsApp Favio,other,Facebook perfil 1,WhatsApp Direct - Kommo CRM,TELEFÓNICA CHILE S.A.,Landing Vercel Favio,CL,San Bernardo,Santiago Metropolitan,macOS,Chrome,DeviceComputer,191.127.216.249,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",,181.63.26.84,,10000.0000,0.0000,0.0000,Purchase,Cellular,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,fb.2.1787147916107.820523118325271031.AQYCAQMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
6a87bb2397ad4b60fc20da87,,6a87bb09e9972115875187d2,2026-08-21 02:42:17 +0000 UTC,2026-08-21 02:42:43 +0000 UTC,Meta Ads - WhatsApp Favio,,Landing/WhatsApp Favio,other,Facebook perfil 1,WhatsApp Direct - Kommo CRM,Telefonica de Argentina,Landing Vercel Favio,AR,Buenos Aires,Buenos Aires F.D.,Android,Facebook,DevicePhone,186.143.199.180,"Mozilla/5.0 (Linux; Android 13; SM-A032M Build/TP1A.220624.014) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/151.0.7922.83 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/574.0.0.40.71;IABMV/1;]",,54.164.93.184,,0.0000,0.0000,0.0000,conversion,Cellular,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120250084281130697,120250084281110697,120250084281120697,leads favio 1/ 19-08,leads favio 1/ 19-08,leads favio 1/ 19-08 - Copy,Facebook_Mobile_Reels,fb,facebook,paid,IwcGRvZgVleHRuA2FlbQEwAGFkaWQBqzbQiVgcuXNydGMGYXBwX2lkDDM1MDY4NTUzMTcyOAABHjK4nIG36uXSulCXJitmRYguhaHoiXwqwTuJnqpwOEPHtOcFqipIhrs0cCpH_aem_lbTFETfV9BNS7IpKmEwUtg,,,,,,,,fb.2.1787280135888.576278293947185697.AQYCAQMB,fb.2.1787280135927.IwcGRvZgVleHRuA2FlbQIxMABzcnRjBmFwcF9pZAwzNTA2ODU1MzE3MjgAAR5Dq26SiveISA_aKEka-PqtN4_QVqnRP-fa6xLZ6410ceN99S2iTlGVCEffOQ_aem_3aWc78c0ktm8M3x_IBNNIA.AQYCAQMB,,,,,,,,,,,,,,,,,,,,,facebook,paid,leads favio 1/ 19-08 - Copy,leads favio 1/ 19-08,leads favio 1/ 19-08,Facebook_Mobile_Reels,,120250084281120697,120250084281110697,120250084281130697,,,,0
6a87a0be97ad4b60fc1a5cf9,,6a87a0b33c008471a580d44f,2026-08-21 00:49:55 +0000 UTC,2026-08-21 00:50:06 +0000 UTC,Meta Ads - WhatsApp Favio,,Landing/WhatsApp Favio,other,Facebook perfil 1,WhatsApp Direct - Kommo CRM,Telmex Colombia S.A.,Landing Vercel Favio,CO,Barranquilla,Atlántico,Windows,Chrome,DeviceComputer,181.63.26.84,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",,3.84.165.138,,0.0000,0.0000,0.0000,conversion,Cable/DSL,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{{ad.id}},{{adset.id}},{{campaign.id}},{{ad.name}},{{adset.name}},{{campaign.name}},{{placement}},{{site_source_name}},facebook,paid,,,,,,,,,fb.2.1787273393354.413016507327112353.AQYCAQMB,,,,,,,,,,,,,,,,,,,,,,facebook,paid,{{campaign.name}},{{adset.name}},{{ad.name}},{{placement}},,{{campaign.id}},{{adset.id}},{{ad.id}},,,,0
6a87e29e97ad4b60fc29d3f1,,6a87d4e3e99721158754dc9d,2026-08-21 04:32:35 +0000 UTC,2026-08-21 05:31:10 +0000 UTC,Meta Ads - WhatsApp Favio,,Landing/WhatsApp Favio,other,Facebook perfil 1,WhatsApp Direct - Kommo CRM,Techtel LMDS Comunicaciones Interactivas S.A.,Landing Vercel Favio,AR,Mar del Plata,Buenos Aires,Android,Facebook,DevicePhone,2803:9800:9999:827e:1ef:9d20:5926:b7c7,"Mozilla/5.0 (Linux; Android 14; T610P Build/UP1A.231005.007) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/151.0.7922.134 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/574.0.0.40.71;IABMV/1;]",,34.238.82.93,,0.0000,0.0000,0.0000,InitiateCheckout,Cable/DSL,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120250084281130697,120250084281110697,120250084281120697,leads favio 1/ 19-08,leads favio 1/ 19-08,leads favio 1/ 19-08 - Copy,Facebook_Mobile_Reels,fb,facebook,paid,IwcGRvZgVleHRuA2FlbQEwAGFkaWQBqzbQiVgcuXNydGMGYXBwX2lkDDM1MDY4NTUzMTcyOAABHszroWFmRCzcaZSczwz35q4znNUq5axhQNfRz0FuJk12lSSDyNh3hFaaNa7t_aem_i19zHEHfAb5PYeml8SWiDQ,,,,,,,,fb.2.1787286752515.905537006495102695.AQYCAQMB,,,,,,,,,,,,,,,,,,,,,,facebook,paid,leads favio 1/ 19-08 - Copy,leads favio 1/ 19-08,leads favio 1/ 19-08,Facebook_Mobile_Reels,,120250084281120697,120250084281110697,120250084281130697,,,,1
6a87b12117190252e6e407e1,,6a87b1193c008471a5854f4a,2026-08-21 01:59:53 +0000 UTC,2026-08-21 02:00:01 +0000 UTC,Meta Ads - WhatsApp Favio,,Landing/WhatsApp Favio,other,Facebook perfil 1,WhatsApp Direct - Kommo CRM,Jumpnet Soluciones de Internet S.R.L.,Landing Vercel Favio,AR,Buenos Aires,Buenos Aires F.D.,iOS,Facebook,DevicePhone,190.104.33.54,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_7_16 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/20H392 Safari/604.1 [FBAN/FBIOS;FBAV/574.0.0.41.71;FBBV/1038059635;FBDV/iPhone10,5;FBMD/iPhone;FBSN/iOS;FBSV/16.7.16;FBSS/3;FBID/phone;FBLC/es_LA;FBOP/5;FBRV/1045586246;IABMV/1]",,18.204.217.167,,0.0000,0.0000,0.0000,conversion,Cable/DSL,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120250084281130697,120250084281110697,120250084281120697,leads favio 1/ 19-08,leads favio 1/ 19-08,leads favio 1/ 19-08 - Copy,Facebook_Mobile_Feed,fb,facebook,paid,IwcGRvZgVmZGlkFlDOHGwuEkhIE8IcHeb0WXlGVO4OachleHRuA2FlbQEwAGFkaWQBqzbQiVgcuXNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR6-iWX0jezZ0Jirh7F6bL6fUkohFMmj_BaVlc6iZy8O8BCwu9c6VBO4CBAxRA_aem_2O4Tqi6A58Bm1DMPVbx6DA,,,,,,,,fb.2.1787277591894.256676483358588057.AQYCAQMB,fb.2.1787277591897.IwcGRvZgVmZGlkFlDOHGwuEkhIE8IcHeb0WXlGVO4OachleHRuA2FlbQEwAGFkaWQBqzbQiVgcuXNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR6-iWX0jezZ0Jirh7F6bL6fUkohFMmj_BaVlc6iZy8O8BCwu9c6VBO4CBAxRA_aem_2O4Tqi6A58Bm1DMPVbx6DA.AQYCAQMB,,,,,,,,,,,,,,,,,,,,,facebook,paid,leads favio 1/ 19-08 - Copy,leads favio 1/ 19-08,leads favio 1/ 19-08,Facebook_Mobile_Feed,,120250084281120697,120250084281110697,120250084281130697,,,,0
6a87a42f76c88e7ed0242179,,6a87a41a3c008471a5823a0f,2026-08-21 01:04:26 +0000 UTC,2026-08-21 01:04:47 +0000 UTC,Meta Ads - WhatsApp Favio,,Landing/WhatsApp Favio,other,Facebook perfil 1,WhatsApp Direct - Kommo CRM,Techtel LMDS Comunicaciones Interactivas S.A.,Landing Vercel Favio,AR,Buenos Aires,Buenos Aires F.D.,Android,Instagram,DevicePhone,2803:9800:f328:e952:8420:26cf:ca42:46cb,"Mozilla/5.0 (Linux; Android 12; SM-A115M Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/150.0.7871.181 Mobile Safari/537.36 Instagram 442.0.0.46.79 Android (31/12; 280dpi; 720x1560; samsung; SM-A115M; a11q; qcom; es_ES; 1037527475; IABMV/1)",,44.212.40.12,,0.0000,0.0000,0.0000,conversion,Cellular,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120250084281130697,120250084281110697,120250084281120697,leads favio 1/ 19-08,leads favio 1/ 19-08,leads favio 1/ 19-08 - Copy,Instagram_Feed,ig,facebook,paid,PAcGRvZgJleHRuA2FlbQEwAGFkaWQBqzbQiVgcuXNydGMGYXBwX2lkDzU2NzA2NzM0MzM1MjQyNwABp2pq2AMQkKT8ltbw6ITIZxUKlFB-Py3xkd565IHAYG4hOm7U7bX6gqef2jNW_aem_6N_Gr0-5DNW5Ql2WLfhHQg,,,,,,,,fb.2.1787274256027.340066223830989613.AQYCAQMB,fb.2.1787274256053.PAcGRvZgJleHRuA2FlbQIxMABzcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAafijciezKDbkQpMNJ5xfNj0bUpbeceYwhHspTNZgIQoT3ttShh2fq4YUniKyg_aem_IubePqSX_tieDUcUMqgj1Q.AQYCAQMB,,,,,,,,,,,,,,,,,,,,,facebook,paid,leads favio 1/ 19-08 - Copy,leads favio 1/ 19-08,leads favio 1/ 19-08,Instagram_Feed,,120250084281120697,120250084281110697,120250084281130697,,,,0
6a87c67e0d621d85c329bf5e,,6a87c66b3c008471a588fcdd,2026-08-21 03:30:51 +0000 UTC,2026-08-21 03:31:10 +0000 UTC,Meta Ads - WhatsApp Favio,,Landing/WhatsApp Favio,other,Facebook perfil 1,WhatsApp Direct - Kommo CRM,VANET TELECOMUNICACIONES S.R.L.,Landing Vercel Favio,AR,Don Torcuato,Buenos Aires,Android,Facebook,DevicePhone,170.233.127.86,"Mozilla/5.0 (Linux; Android 11; SM-A107M Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/151.0.7922.137 Mobile Safari/537.36[FBAN/EMA;FBLC/es_ES;FBAV/524.0.0.7.106;FBCX/modulariab;]",,44.212.77.190,,0.0000,0.0000,0.0000,conversion,Cable/DSL,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120250084281130697,120250084281110697,120250084281120697,leads favio 1/ 19-08,leads favio 1/ 19-08,leads favio 1/ 19-08 - Copy,Facebook_Mobile_Feed,fb,facebook,paid,IwcGRvZgNleHRuA2FlbQEwAGFkaWQBqzbQiVgcuXNydGMGYXBwX2lkDzI3NTI1NDY5MjU5ODI3OQABHp0p23Bp2aDZWjpZ3AcrEeEdDyBkdSf-qGNsXgC5QrJ8ULEv3zntw4hLGrYy_aem_T7qykYq6vrM1Ed04vu_q4w,,,,,,,,fb.2.1787283047586.944744675995316919,,,,,,,,,,,,,,,,,,,,,,facebook,paid,leads favio 1/ 19-08 - Copy,leads favio 1/ 19-08,leads favio 1/ 19-08,Facebook_Mobile_Feed,,120250084281120697,120250084281110697,120250084281130697,,,,0
6a87c4628980eb67b9b7b064,,6a8795323c008471a5771fc9,2026-08-21 00:00:50 +0000 UTC,2026-08-21 03:22:09 +0000 UTC,Meta Ads - WhatsApp Favio,,Landing/WhatsApp Favio,other,Facebook perfil 1,WhatsApp Direct - Kommo CRM,Telecom Argentina S.A.,Landing Vercel Favio,AR,Puerto Iguazú,Misiones,Android,Facebook,DevicePhone,190.230.212.226,"Mozilla/5.0 (Linux; Android 12; moto g(60)s Build/S3RLS32.114-25-13) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/151.0.7922.134 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/574.0.0.40.71;IABMV/1;]",,44.201.95.172,,0.0000,0.0000,0.0000,InitiateCheckout,Cable/DSL,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120250084281130697,120250084281110697,120250084281120697,leads favio 1/ 19-08,leads favio 1/ 19-08,leads favio 1/ 19-08 - Copy,Facebook_Instream_Video,fb,facebook,paid,IwY2xjawT0dHRwZG9mAWV4dG4DYWVtATAAYWRpZAGrNtCJWBy5c3J0YwZhcHBfaWQMMzUwNjg1NTMxNzI4AAEeegh873wtNFW0Q_B0p_ZuTZm656cZga7mpuuEDmDCOLnZ0XRtewy88Q2fQVQ_aem_KxUWZl_Z8vNbzL04QWJFKg,,,,,,,,fb.2.1787270437231.237788410494141562.AQYCAQMB,fb.2.1787270437241.IwcGRvZgFleHRuA2FlbQIxMABzcnRjBmFwcF9pZAwzNTA2ODU1MzE3MjgAAR7KyC0Pg5PjYmhFeHH9tgZ9Gxh3BiMnLukeJ8GsH2xupdk7bcPfdj3bIYVHgg_aem_k3rWK6Z1mVEhkqfsbmJLxQ.AQYCAQMB,,,,,,,,,,,,,,,,,,,,,facebook,paid,leads favio 1/ 19-08 - Copy,leads favio 1/ 19-08,leads favio 1/ 19-08,Facebook_Instream_Video,,120250084281120697,120250084281110697,120250084281130697,,,,1
6a87a23597ad4b60fc1ab608,,6a87a0b33c008471a580d44f,2026-08-21 00:49:55 +0000 UTC,2026-08-21 00:56:21 +0000 UTC,Meta Ads - WhatsApp Favio,,Landing/WhatsApp Favio,other,Facebook perfil 1,WhatsApp Direct - Kommo CRM,Telmex Colombia S.A.,Landing Vercel Favio,CO,Barranquilla,Atlántico,Windows,Chrome,DeviceComputer,181.63.26.84,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",,3.84.165.138,,333.0000,0.0000,0.0000,Purchase,Cable/DSL,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{{ad.id}},{{adset.id}},{{campaign.id}},{{ad.name}},{{adset.name}},{{campaign.name}},{{placement}},{{site_source_name}},facebook,paid,,,,,,,,,fb.2.1787273393354.413016507327112353.AQYCAQMB,,,,,,,,,,,,,,,,,,,,,,facebook,paid,{{campaign.name}},{{adset.name}},{{ad.name}},{{placement}},,{{campaign.id}},{{adset.id}},{{ad.id}},,,,1
